,id,name,artists,danceability,tempo,duration_ms
0,6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,0.754,77.169,198973.0
1,3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,0.74,75.023,166606.0
2,0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.5870000000000001,159.847,218147.0
3,3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,0.7390000000000001,140.124,221440.0
4,2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,0.835,91.03,217925.0
5,7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.68,145.028,231267.0
6,58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,0.816,136.048,253390.0
7,7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,123.994,214847.0
8,76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,0.836,97.02799999999999,217947.0
9,08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,0.626,95.079,202621.0
10,1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,0.765,104.988,217307.0
11,0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,0.511,83.90299999999999,239836.0
12,3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,0.586,93.39399999999999,210747.0
13,7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,0.851,124.959,235545.0
14,09IStsImFySgyp0pIQdqA,The Middle,Zedd,0.753,107.01,184732.0
15,3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,0.698,96.92399999999999,232187.0
16,2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,0.6990000000000001,121.993,205920.0
17,39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,0.595,180.07299999999998,173628.0
18,0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,0.9209999999999999,128.009,135090.0
19,4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,0.922,140.02200000000002,181263.0
20,5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,92.213,210773.0
21,3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,0.903,96.507,417920.0
22,7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,0.71,142.929,131064.0
23,2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,0.596,120.274,203418.0
24,2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,0.762,116.073,209320.0
25,7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,0.825,95.977,233713.0
26,45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,0.708,143.955,201707.0
27,4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,153.995,164205.0
28,7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,0.872,134.02100000000002,119133.0
